gene_symbol,meanTumor,meanControl,pvalue,log2FC
C8orf58,3.332640789,3.668373359,0.070757423,-0.33573257
CCAR2,7.488026238,7.687068126,0.016887003,-0.199041888
BIN3,4.644912532,4.874039273,0.009351102,-0.229126742
EGR3,0.227299524,0.174023841,0.813786008,0.053275683
PEBP4,0.0381988,0.161186683,0.528307424,-0.122987883
LOC101929237,0,0,1,0
RN7SL303P,0,0,1,0
RHOBTB2,5.567912828,5.442519342,0.148724952,0.125393486
TNFRSF10B,7.586848816,7.711497447,0.05210855,-0.124648631
LOC286059,0.037832386,0.032677999,0.922941417,0.005154387
LOC254896,0.037832386,0.119186133,0.572140934,-0.081353747
TNFRSF10C,0.166376535,0.032677999,0.507841689,0.133698536
TNFRSF10D,4.669193961,4.735549883,0.418731309,-0.066355922
TNFRSF10A,3.822998471,3.796108258,0.890807793,0.026890213
RPL23AP55,0,0,1,0
TNFRSF10A-DT,1.094765766,1.366690672,0.069470889,-0.271924907
CHMP7,6.113082297,6.157482256,0.69085415,-0.044399959
R3HCC1,4.788555626,5.263691953,0.011738971,-0.475136327
LOXL2,10.10146383,10.05620622,0.296154733,0.045257602
LOC100507156,1.18017261,1.286770769,0.514990273,-0.106598159
ENTPD4,6.320249903,6.270774225,0.374446766,0.049475678
SLC25A37,6.685145362,6.861311109,0.280457303,-0.176165747
RNU4-71P,0,0,1,0
SINHCAFP3,0,0,1,0
NKX3-1,5.189091711,4.977613022,0.036755624,0.211478689
NKX2-6,0.739100079,0.964450304,0.223369171,-0.225350225
STC1,5.338202655,6.233452211,0.017127319,-0.895249555
RNU1-148P,0,0,1,0
ADAM28,0.335956869,0.20774209,0.392450808,0.128214778
ADAMDEC1,0,0,1,0
ADAM7,0,0,1,0
LOC101929315,0,0,1,0
NEFM,0.037224089,0,0.422649731,0.037224089
NEFL,0.51522135,0.726179146,0.41630654,-0.210957796
MIR6841,0,0,1,0
DOCK5,7.225973659,7.310955744,0.062236892,-0.084982085
MIR6876,0,0,1,0
GNRH1,0.905118376,1.065789606,0.428204993,-0.16067123
KCTD9,6.089461891,5.604779779,0.004880601,0.484682112
CDCA2,6.541382473,6.562477635,0.606608543,-0.021095162
EBF2,0.073585397,0,0.422649731,0.073585397
RNA5SP258,0,0,1,0
LOC100129404,0,0,1,0
PPP2R2A,6.688369424,6.374985664,0.000436742,0.313383761
SDAD1P1,2.285378522,2.233967495,0.78080352,0.051411027
BNIP3L,8.474185007,7.898644385,0.001055527,0.575540622
PNMA2,7.89978165,7.791461676,0.01021793,0.108319974
DPYSL2,8.873241646,8.625425416,0.006567067,0.24781623
PSME2P5,0.037224089,0.237299891,0.122788095,-0.200075802
ADRA1A,0,0,1,0
RPLP1P9,0,0,1,0
MIR548H4,0,0,1,0
STMN4,0,0,1,0
TRIM35,4.749557188,4.806737474,0.388688077,-0.057180286
PTK2B,5.486839064,5.668776325,0.11111887,-0.181937262
MIR6842,0,0,1,0
CHRNA2,0,0,1,0
EPHX2,1.0235401,1.305053958,0.286034364,-0.281513859
CLU,6.503388463,6.747441347,0.019549048,-0.244052884
MIR6843,0,0,1,0
SCARA3,6.071234064,6.263853249,0.056031309,-0.192619186
RNU6-1086P,0,0,1,0
MIR3622B,0,0,1,0
MIR3622A,0,0,1,0
CCDC25,5.827632222,5.567001163,0.016844635,0.260631059
ESCO2,6.346471928,5.764047664,0.007650268,0.582424265
RNU6-1276P,0,0,1,0
PBK,6.71188363,6.325095673,0.002000132,0.386787957
LOC100130612,0,0,1,0
SCARA5,0,0.113902984,0.422649731,-0.113902984
MIR4287,0,0,1,0
NUGGC,0,0.032677999,0.422649731,-0.032677999
ELP3,5.4587259,5.562392069,0.027784061,-0.103666169
RPL5P22,0,0,1,0
PNOC,0,0,1,0
ZNF395,6.810405916,6.75019038,0.125940235,0.060215537
FBXO16,1.672769576,1.708321933,0.821287441,-0.035552356
RNU6-178P,0,0,1,0
FZD3,3.42322859,3.119925898,0.075567289,0.303302692
MIR4288,0,0,1,0
RNA5SP259,0,0,1,0
EXTL3,6.481209632,6.749664735,0.001635961,-0.268455102
EXTL3-AS1,0.283454709,0.336114382,0.242095187,-0.052659673
INTS9,4.651357086,4.771857243,0.258745551,-0.120500157
RPL36AP32,0,0,1,0
HMBOX1,4.535304429,4.619500565,0.342276168,-0.084196135
RNA5SP260,0,0,1,0
KIF13B,5.738739302,5.967164183,0.089077795,-0.228424881
HMGB1P23,0,0,1,0
DUSP4,6.938712728,7.14279226,0.01896764,-0.204079532
RPL17P33,0,0,1,0
LINC00589,0.179449951,0.146580983,0.824292092,0.032868968
LINC02099,0,0,1,0
LOC101929470,0.333845141,0.464870202,0.608960909,-0.131025061
LINC02209,0,0,1,0
MIR3148,0,0,1,0
RNU6-1218P,0,0,1,0
SARAF,7.320793884,7.389763726,0.320626091,-0.068969842
LEPROTL1,5.854525139,5.479134496,0.006871141,0.375390643
RPS15AP24,0,0,1,0
MBOAT4,0,0.041039123,0.422649731,-0.041039123
DCTN6,4.120366749,3.644138451,0.02733165,0.476228298
TAGLN2P2,0,0,1,0
PPIAP84,0,0,1,0
TUBBP1,2.156042609,1.893157127,0.286840635,0.262885482
RBPMS-AS1,1.014344477,0.81737639,0.229515231,0.196968087
RBPMS,5.703014713,5.909495894,0.153694197,-0.206481181
GTF2E2,5.445362941,5.511417111,0.327662327,-0.06605417
SMIM18,0,0,1,0
RNU5A-3P,0,0,1,0
GSR,6.229094347,6.275744475,0.234898095,-0.046650129
UBXN8,3.557233308,3.315823242,0.026567582,0.241410066
HIKESHIP3,0,0.06327605,0.422649731,-0.06327605
PPP2CB,6.899803055,6.506531176,0.001694197,0.393271879
TEX15,3.637281979,2.966333969,0.014592343,0.67094801
LPGAT1P1,0,0,1,0
PURG,0.382157277,0.464655246,0.838141444,-0.082497969
WRN,5.615592623,5.167999513,0.000716029,0.44759311
SUMO2P16,0,0,1,0
RNA5SP261,0,0,1,0
NRG1,4.947124369,4.748643864,0.267406019,0.198480506
NRG1-IT1,0,0,1,0
RNA5SP262,0,0,1,0
RNA5SP263,0,0,1,0
NRG1-IT3,0,0,1,0
RNU6-663P,0,0,1,0
MTND1P6,0,0,1,0
MTND2P32,0,0,1,0
RANP9,0,0,1,0
RNU6-528P,0,0,1,0
FUT10,3.34468192,3.108759236,0.214285797,0.235922684
TTI2,4.244226111,4.130596046,0.131688,0.113630065
MAK16,5.613565276,4.977739442,0.005523083,0.635825834
SNORD13,0,0.078849742,0.422649731,-0.078849742
RPL10P18,0,0,1,0
RNF122,2.90072058,3.03149347,0.677465039,-0.13077289
RN7SL621P,0,0,1,0
DUSP26,0,0,1,0
BUD31P1,0,0,1,0
RN7SL457P,0,0,1,0
RPL6P22,0.0381988,0,0.422649731,0.0381988
CYCSP3,0,0.06327605,0.422649731,-0.06327605
RPL10AP3,0,0.036849188,0.422649731,-0.036849188
RPL21P80,0.337028752,0.545434793,0.462656873,-0.20840604
UNC5D,0.073585397,0.073717122,0.998828711,-0.000131725
MTCYBP19,0,0,1,0
MTND6P19,0,0,1,0
MTND5P41,0,0,1,0
RNU6-533P,0,0,1,0
RPL23P10,0,0,1,0
RNA5SP264,0,0,1,0
KCNU1,0.218262424,0.551322149,0.279462718,-0.333059726
MRPS7P1,0,0,1,0
RPL26P25,0,0,1,0
LOC100507403,0.071772693,0,0.422649731,0.071772693
LINC01605,1.462027661,2.096168472,0.04228604,-0.634140811
RNU6-607P,0,0,1,0
ZNF703,5.587546835,5.7232945,0.151781874,-0.135747664
LOC102723701,0.110128423,0.073717122,0.651701531,0.036411301
ERLIN2,5.939900032,5.883384972,0.502021246,0.05651506
PLPBP,5.663041481,5.632501209,0.596149422,0.030540272
ADGRA2,4.337484579,4.421656807,0.431042963,-0.084172228
BRF2,3.528743249,3.56750321,0.768766764,-0.038759961
RAB11FIP1,6.753455889,6.730052735,0.608580083,0.023403153
RN7SL709P,0,0,1,0
GOT1L1,0,0,1,0
ADRB3,0,0.06327605,0.422649731,-0.06327605
EIF4EBP1,6.412207006,6.803278636,0.008534544,-0.39107163
ASH2L,6.265136243,6.153534274,0.009003188,0.111601969
RNU6-988P,0,0,1,0
STAR,0.471791834,1.530623528,0.020908913,-1.058831695
LSM1,5.151300723,5.169351876,0.780051643,-0.018051153
RNU6-323P,0,0.041039123,0.422649731,-0.041039123
BAG4,5.81323522,5.237446271,0.002051541,0.575788949
DDHD2,6.335929505,6.145829986,0.004952553,0.190099518
PLPP5,4.67744582,4.753063563,0.309723459,-0.075617743
NSD3,7.36210233,7.274981459,0.252373649,0.087120871
LETM2,2.898182736,2.95056978,0.822551192,-0.052387044
FGFR1,7.448899232,7.631019723,0.034145546,-0.18212049
C8orf86,0,0,1,0
TACC1,7.603703119,7.518828653,0.208211472,0.084874466
PLEKHA2,6.672715364,6.400131217,0.031769486,0.272584147
HTRA4,0,0.036849188,0.422649731,-0.036849188
TM2D2,5.703497093,5.553905758,0.051212957,0.149591335
ADAM9,8.765426454,8.798467986,0.408100427,-0.033041532
SNORD38D,0,0,1,0
ADAM32,0.325171918,0.148376929,0.45273737,0.176794988
LOC100420403,0,0,1,0
ADAM5,0,0,1,0
ADAM3A,0,0,1,0
ADAM18,0,0.041039123,0.422649731,-0.041039123
ADAM2,0,0,1,0
IDO1,0.281958874,0.272714424,0.973304957,0.00924445
IDO2,0,0,1,0
LOC100420944,0,0,1,0
TCIM,0.207115847,0.567436874,0.170745446,-0.360321026
SIRLNT,0.283454709,0.994400446,0.162173348,-0.710945737
ZMAT4,0.337381917,0.770518609,0.247593414,-0.433136692
RNU6-356P,0,0,1,0
SFRP1,9.425512461,9.426049347,0.996077905,-0.000536886
MIR548AO,0,0.036849188,0.422649731,-0.036849188
RNU6-895P,0,0,1,0
SNORD65B,0,0,1,0
LOC105379391,0,0,1,0
GOLGA7,6.184448215,5.904919463,0.006111832,0.279528752
KRT18P37,0.037832386,0.135703263,0.402701639,-0.097870877
GINS4,6.383039474,6.251144924,0.078939,0.13189455
GPAT4,7.032799782,7.216539746,0.001564136,-0.183739964
NKX6-3,0,0,1,0
ANK1,2.340114071,1.625391625,0.078465848,0.714722446
MIR486-1,0,0.036849188,0.422649731,-0.036849188
MIR486-2,0,0,1,0
RN7SL149P,0,0,1,0
KAT6A,6.814470803,6.867451066,0.19584332,-0.052980263
RPL17P30,0,0,1,0
AP3M2,5.385725468,5.38969432,0.968468736,-0.003968852
PLAT,8.691521768,8.939897632,0.047421565,-0.248375865
IKBKB,5.635900462,5.805289858,0.074799979,-0.169389397
POLB,4.55152809,4.372834231,0.1494094,0.178693859
RPL5P23,0.239802939,0.20670184,0.842709814,0.033101099
DKK4,0,0,1,0
VDAC3,7.15492773,7.21321082,0.102726766,-0.05828309
SLC20A2,5.076675107,5.024011715,0.429555608,0.052663392
SMIM19,3.715178878,3.275031917,0.029429487,0.44014696
CHRNB3,0,0,1,0
CHRNA6,0.071772693,0.113902984,0.772705232,-0.042130291
THAP1,3.911158536,3.501642408,0.068057925,0.409516129
RNF170,4.001846519,3.588207743,0.017649315,0.413638776
RN7SL806P,0,0,1,0
MIR4469,0,0,1,0
HOOK3,6.821738012,6.3184625,0.009851315,0.503275512
FNTA,5.472378286,5.267079676,0.136984416,0.20529861
RNU1-124P,0.037224089,0.036849188,0.994631932,0.000374901
POMK,3.838543493,4.143218823,0.102015938,-0.30467533
HGSNAT,5.396909361,5.268641703,0.204003034,0.128267658
VN1R46P,0,0,1,0
LOC101926993,0,0,1,0
POTEA,0,0,1,0
RNU6-104P,0,0,1,0
LOC100420534,0,0,1,0
SNX18P27,0.247794983,0.078849742,0.179010006,0.168945241
CYP4F44P,0,0,1,0
HSPA8P13,0,0,1,0
ASNSP1,0,0,1,0
ASNSP4,0,0,1,0
LOC100130861,0,0,1,0
LINC00293,0,0,1,0
MTND2P38,0,0,1,0
MTND1P7,0,0,1,0
RNU6-656P,0,0,1,0
MTCYBP20,0,0,1,0
MTND6P20,0,0,1,0
LOC728587,0,0,1,0
LOC105375814,0,0,1,0
RN7SKP32,0,0,1,0
RNU6-819P,0,0,1,0
RPL10AP2,0.073585397,0.458876363,0.18200875,-0.385290966
ATP6V1G1P2,0,0.036849188,0.422649731,-0.036849188
IGLV8OR8-1,0,0,1,0
SPIDR,5.651413046,5.740309773,0.349525155,-0.088896727
LOC100420532,0,0,1,0
RNU6-665P,0,0,1,0
CEBPD,5.270889312,5.278018965,0.916479584,-0.007129653
PRKDC,10.21097402,10.21459067,0.951994948,-0.003616649
MCM4,8.91951193,8.867012069,0.209764557,0.05249986
RNU6-519P,0,0,1,0
UBE2V2,6.818721771,6.324605694,0.008299437,0.494116077
RNU6-295P,0,0,1,0
RNA5SP531,0,0.041039123,0.422649731,-0.041039123
LOC101929268,0.037224089,0.036849188,0.994631932,0.000374901
LOC101929217,0.071772693,0,0.422649731,0.071772693
EFCAB1,0.33839094,0.217648462,0.529669577,0.120742478
SNAI2,4.279017324,3.950701518,0.087415045,0.328315806
PPDPFL,0,0,1,0
LOC100507464,0,0,1,0
SNTG1,0,0,1,0
LOC100422267,0,0,1,0
PXDNL,0.278401006,0.233089117,0.771852026,0.045311888
BRIX1P1,0,0,1,0
PCMTD1,5.004356137,4.472607852,0.029598446,0.531748286
PCMTD1-DT,0.544966015,1.16724019,0.078647628,-0.622274175
ST18,0.0381988,0,0.422649731,0.0381988
LOC101929341,0,0,1,0
RPL34P17,0,0,1,0
ALKAL1,0,0,1,0
RB1CC1,7.25132805,6.774891785,0.008605158,0.476436266
OPRK1,0,0,1,0
LOC100507516,0.6327049,0.685579739,0.822193889,-0.052874839
LOC100129667,0,0,1,0
ATP6V1H,5.687892796,5.587458519,0.228806336,0.100434277
RGS20,2.691946312,2.673623846,0.934020229,0.018322466
RNU6-1331P,0.037832386,0,0.422649731,0.037832386
TCEA1,6.733454553,6.06834244,0.001377133,0.665112113
LYPLA1,6.542458131,5.855644846,0.001365842,0.686813285
MRPL15,5.912538338,6.059310246,0.024440255,-0.146771908
RNU6ATAC32P,0,0,1,0
RNU105C,0,0,1,0
LOC100419615,0,0,1,0
RN7SL250P,0,0,1,0
SOX17,0,0.132984717,0.422649731,-0.132984717
RP1,0.0381988,0,0.422649731,0.0381988
XKR4,0,0.041039123,0.422649731,-0.041039123
SBF1P1,0,0,1,0
LOC105375843,0,0,1,0
TMEM68,4.001291287,3.654951852,0.184708748,0.346339435
RNA5SP265,0,0,1,0
TGS1,5.209569357,5.133032281,0.450344404,0.076537076
LYN,5.252190917,5.29282016,0.319097004,-0.040629242
SNORA1B,0,0,1,0
RN7SL798P,0,0,1,0
RN7SL323P,0,0,1,0
RPS20,9.05178131,9.263435105,0.003911468,-0.211653795
SNORD54,0,0,1,0
CERNA3,0.037224089,0,0.422649731,0.037224089
MOS,0,0,1,0
PLAG1,2.843641315,2.61843322,0.036675778,0.225208096
CHCHD7,4.417683576,4.514725537,0.352566257,-0.097041961
SDR16C5,0,0,1,0
SDR16C6P,0,0,1,0
PENK,0.0381988,0.041039123,0.962036654,-0.002840323
PENK-AS1,0,0,1,0
LINC00968,0.583251461,0.100125239,0.075336479,0.483126223
RPL37P6,0,0.041039123,0.422649731,-0.041039123
LOC105375851,0,0,1,0
LOC100419616,0,0,1,0
RNU6-13P,0,0.041039123,0.422649731,-0.041039123
BPNT2,7.636828273,7.201932684,0.001959492,0.434895589
RNA5SP266,0,0,1,0
LINC01606,0,0,1,0
LOC286177,0,0,1,0
LINC00588,0,0,1,0
RNU6-596P,0,0,1,0
LOC101929488,0,0,1,0
RPL30P10,0,0,1,0
LOC286178,0,0,1,0
LINC01602,0,0.111527741,0.245596798,-0.111527741
FAM110B,4.42971053,4.311812001,0.311310259,0.117898529
RPL26P26,0,0,1,0
LOC101929528,0,0,1,0
UBXN2B,6.039058993,5.349397255,0.007029455,0.689661738
CYP7A1,0,0,1,0
SDCBP,7.775202065,7.40904954,0.001274623,0.366152524
NSMAF,5.819077603,5.650027631,0.105460746,0.169049973
TOX,0.53091607,0.771080218,0.320915349,-0.240164148
RNU4-50P,0,0,1,0
LOC100505501,0.18371382,0.184977619,0.991365174,-0.001263799
RNA5SP267,0,0,1,0
LOC105375861,0,0,1,0
SLC2A13P1,0,0,1,0
CA8,0.216150696,0.214553005,0.986048036,0.001597691
RAB2A,7.122365288,6.481757619,0.000225429,0.640607669
CHD7,5.327995371,5.436855447,0.253898893,-0.108860076
CLVS1,0,0,1,0
ASPH,8.677499024,8.165434599,0.005513865,0.512064425
KRT8P3,3.736324312,3.690016628,0.759351501,0.046307684
RN7SKP97,0.148327223,0.195068425,0.689404322,-0.046741201
MIR4470,0,0,1,0
LINC02155,0,0,1,0
C1GALT1P3,0,0,1,0
NARS1P2,0,0,1,0
NKAIN3,0.136197448,0.11569893,0.901649214,0.020498518
XRCC6P4,0.076031186,0,0.183512901,0.076031186
SRPK2P,0,0,1,0
GGH,6.551370065,6.251104019,0.012213578,0.300266046
TTPA,0.933990144,0.713188696,0.333130331,0.220801448
YTHDF3-DT,0.343740653,0.510879808,0.287065854,-0.167139155
YTHDF3,7.318228454,6.90553872,0.008483354,0.412689735
RN7SL135P,0,0,1,0
LOC102724612,0,0,1,0
RN7SKP135,0,0,1,0
LINC01414,0,0,1,0
LINC01289,0,0,1,0
COX6CP8,0,0,1,0
MIR124-2HG,0,0,1,0
MIR124-2,0,0,1,0
LOC107986878,0,0,1,0
LOC401463,0,0,1,0
BHLHE22,0,0,1,0
CYP7B1,0.072904334,0,0.422649731,0.072904334
RPL31P41,0,0,1,0
LINC00251,0,0,1,0
PPIAP86,0,0,1,0
LINC01299,0,0,1,0
ARMC1,6.456312996,5.795410357,0.006550308,0.660902639
MTFR1,5.793470655,5.553765146,0.017562662,0.23970551
PDE7A,4.549147592,4.07940155,0.047063518,0.469746042
DNAJC5B,0,0,1,0
TRIM55,0,0.041039123,0.422649731,-0.041039123
CRH,0,0,1,0
LINC00967,0,0,1,0
RRS1-DT,0,0.112113758,0.211315581,-0.112113758
RRS1,3.902759926,3.920606394,0.922803517,-0.017846468
ADHFE1,0.537165885,0.783383944,0.417438394,-0.246218058
VXN,1.293460965,1.621318336,0.299735934,-0.327857371
RNU6-1324P,0,0,1,0
MYBL1,6.175475629,5.590639892,0.012180468,0.584835737
VCPIP1,5.796901237,5.414534475,0.148077801,0.382366762
SGK3,3.22102234,3.213022616,0.966631869,0.007999723
PTTG3P,0,0.041039123,0.422649731,-0.041039123
MCMDC2,0.246996038,0.160225257,0.561063689,0.086770781
SNHG6,4.303355391,4.455689376,0.377927973,-0.152333985
SNORD87,0,0,1,0
TCF24,0,0.032677999,0.422649731,-0.032677999
PPP1R42,0.106545617,0,0.422649731,0.106545617
LOC100288001,0,0.071074635,0.422649731,-0.071074635
COPS5,5.640480177,5.725730022,0.109447383,-0.085249844
CSPP1,4.838081498,4.653170186,0.162580608,0.184911312
RNA5SP268,0.075056475,0.11056631,0.445080063,-0.035509836
ARFGEF1,6.927686166,6.662455637,0.009040893,0.265230529
RPL17P31,0,0,1,0
CPA6,0.037224089,0,0.422649731,0.037224089
NACAP10,0,0,1,0
NDUFS5P6,0,0,1,0
PREX2,0.071772693,0,0.422649731,0.071772693
C8orf34-AS1,0,0,1,0
C8orf34,0,0,1,0
RPS15AP25,0,0,1,0
RNA5SP269,0,0,1,0
LINC01592,0,0,1,0
RNU7-102P,0,0,1,0
LINC01603,0,0.032677999,0.422649731,-0.032677999
SULF1,7.39860852,6.642786773,0.002721764,0.755821746
SLCO5A1,0.209163652,0.256065451,0.879246599,-0.0469018
RN7SKP29,0,0,1,0
LOC100101127,0,0,1,0
LOC101929759,0.071772693,0,0.422649731,0.071772693
LOC100288097,0,0,1,0
RN7SL675P,0,0,1,0
RNA5SP270,0,0,1,0
PRDM14,0,0,1,0
RNU1-101P,0,0,1,0
NCOA2,5.389275571,5.244142698,0.165415907,0.145132874
RNY3P14,0,0,1,0
RPS18P11,0,0,1,0
LOC101926892,0,0,1,0
RN7SL203P,0,0,1,0
RPL13P11,0,0,1,0
TRAM1,8.478830506,7.428943591,0.000838142,1.049886915
LACTB2-AS1,0.037832386,0.266067001,0.085610614,-0.228234615
LACTB2,4.004202271,3.875622097,0.376491981,0.128580174
RN7SL19P,0.037832386,0.036849188,0.986039005,0.000983198
XKR9,0.339798072,0.09204316,0.17536475,0.247754912
EYA1,0,0,1,0
MSC-AS1,3.952392374,4.413863122,0.047289435,-0.461470748
MSC,3.834071276,5.07522832,0.000854036,-1.241157044
RPS20P20,0,0.041039123,0.422649731,-0.041039123
TRPA1,1.84269834,1.993715166,0.583939707,-0.151016826
RNA5SP271,0,0,1,0
LOC100129527,0,0,1,0
KCNB2,0,0,1,0
LOC101926908,0,0,1,0
TERF1,5.333073847,4.862239599,0.005401835,0.470834249
RNU6-285P,0,0,1,0
SBSPON,4.377722095,3.886521308,0.130642346,0.491200787
C8orf89,0,0,1,0
RPL7,8.924122772,8.884362927,0.263435579,0.039759845
RDH10,4.573053373,4.429521945,0.23495876,0.143531428
RDH10-AS1,0,0.032677999,0.422649731,-0.032677999
STAU2-AS1,0,0,1,0
STAU2,5.565048729,5.354524356,0.197460213,0.210524373
UBE2W,5.458031034,4.351982502,0.000593111,1.106048532
RN7SL760P,0,0,1,0
GYG1P1,0,0.036849188,0.422649731,-0.036849188
ELOC,6.118538506,6.013002009,0.223873508,0.105536497
TMEM70,4.920242054,4.446727129,0.007488345,0.473514925
DSTNP3,0.037832386,0.06327605,0.751036708,-0.025443664
LY96,0.4918297,0.309691622,0.098119624,0.182138078
RNU6-1300P,0,0,1,0
RPS3AP32,0,0,1,0
RNU6-1197P,0,0,1,0
LOC105375903,0,0.06327605,0.422649731,-0.06327605
JPH1,4.356433123,4.055031424,0.039726661,0.301401699
GDAP1,4.523184854,4.488142679,0.770864391,0.035042175
MIR5681A,0,0,1,0
MIR5681B,0,0,1,0
MIR2052HG,0,0,1,0
MIR2052,0,0,1,0
PI15,0,0,1,0
CRISPLD1,2.398871176,1.81207159,0.010293441,0.586799586
CASC9,0,0,1,0
HIGD1AP6,0,0,1,0
HNF4G,0.072904334,0,0.422649731,0.072904334
RNU2-54P,0,0,1,0
LINC01109,0,0,1,0
LINC01111,0.621273137,0.790282933,0.192884102,-0.169009796
ZFHX4-AS1,1.307605847,0.831587929,0.082519696,0.476017919
ZFHX4,6.898873697,6.877738542,0.596356449,0.021135155
MIR3149,0.076031186,0,0.183512901,0.076031186
PEX2,5.218736828,5.036490675,0.126522649,0.182246153
RNU6-1220P,0,0,1,0
PKIA-AS1,0,0,1,0
PKIA,2.130237307,1.758464901,0.194211238,0.371772405
ZC2HC1A,3.977051078,3.437985521,0.020456866,0.539065557
IL7,0.952600596,1.240541961,0.170760683,-0.287941365
RPL3P9,0.110809486,0,0.224203714,0.110809486
STMN2,0,0,1,0
HEY1,0.786408149,0.923115989,0.321152337,-0.13670784
LINC01607,0.073585397,0,0.422649731,0.073585397
LOC101927040,0,0.069527187,0.184968847,-0.069527187
MRPS28,2.139830636,2.702425704,0.071705319,-0.562595068
TPD52,5.81809043,4.713216544,0.010562714,1.104873886
RN7SL41P,0,0,1,0
MIR5708,0,0,1,0
RPL13AP18,0,0,1,0
RPS5P5,0,0.135703263,0.275113504,-0.135703263
RNU6-1213P,0,0,1,0
ZBTB10,3.94483686,3.337903814,0.063140984,0.606933046
RPSAP47,0.104004758,0.06327605,0.75810174,0.040728707
RNU7-174P,0,0,1,0
RNU2-71P,0,0,1,0
RN7SL107P,0,0,1,0
ZNF704,2.772331672,2.580202123,0.600024927,0.19212955
RNU11-6P,0,0,1,0
RN7SL308P,0,0,1,0
PAG1,0.975976307,0.822489538,0.423476467,0.153486768
LOC105375924,0,0,1,0
FABP5,3.002236302,3.159544538,0.537631174,-0.157308236
PMP2,0,0,1,0
FABP9,0,0,1,0
FABP4,0,0.032677999,0.422649731,-0.032677999
FABP12,0,0,1,0
SLC10A5P1,0,0,1,0
IMPA1,4.678753639,4.079590505,0.004117811,0.599163134
SLC10A5,0.504991373,0.2795657,0.267304095,0.225425673
ZFAND1,5.093726489,4.786216413,0.003739314,0.307510076
CHMP4C,0.961073183,0.78839131,0.571707569,0.172681873
SNX16,4.51903752,3.651192966,0.013137941,0.867844554
LINC02235,0,0,1,0
LINC02839,0,0,1,0
LOC101927141,0,0,1,0
LOC100420845,0,0,1,0
LOC100533622,0,0,1,0
LINC01419,0,0,1,0
RALYL,0,0,1,0
RNU6-1040P,0,0,1,0
PSMC2P2,0,0,1,0
LOC100422614,0,0,1,0
LRRCC1,3.284128861,3.234525503,0.67233873,0.049603358
E2F5-DT,0,0,1,0
E2F5,1.833586289,1.612543383,0.455392486,0.221042905
RBIS,5.158281483,4.876850953,0.033825588,0.281430531
CA13,3.227723456,2.856512076,0.125814817,0.37121138
CA1,0,0,1,0
CA3,0.690760819,1.378693091,0.011940689,-0.687932273
CA2,0.037832386,0.27511051,0.043298694,-0.237278124
REXO1L12P,0,0,1,0
REXO1L2P,0,0,1,0
ATP6V0D2,0.341809326,0.280372816,0.733163628,0.06143651
RPL32P4,0,0,1,0
PSKH2,0,0,1,0
SLC7A13,0,0,1,0
WWP1-AS1,0,0,1,0
WWP1,5.746871434,5.235413399,0.01061819,0.511458035
RMDN1,5.234514274,5.185727787,0.462687787,0.048786487
NTAN1P2,0.300588049,0.11056631,0.33971488,0.190021738
CPNE3,7.237522439,6.559021139,7.42E-05,0.6785013
CNGB3,0,0,1,0
MIOXP1,0,0,1,0
GOLGA2P1,0,0,1,0
CNBD1,0,0,1,0
IARS2P1,0,0,1,0
LOC100419762,0,0,1,0
DCAF4L2,0.0381988,0,0.422649731,0.0381988
MMP16,3.203508283,2.950711923,0.279443318,0.25279636
RNA5SP272,0,0,1,0
RPSAP74,0,0,1,0
RIPK2-DT,2.06562023,2.371893793,0.439506147,-0.306273563
RIPK2,5.485663573,5.170446539,0.003923347,0.315217034
COX6B1P6,0,0,1,0
RNU6-925P,0,0,1,0
OSGIN2,5.782376151,5.332244004,0.012187513,0.450132147
NBN,6.803306123,6.354521414,0.011204632,0.448784709
DECR1,4.801316711,4.762093226,0.58005083,0.039223485
CALB1,0.037832386,0.078849742,0.672332947,-0.041017356
LINC00534,0,0,1,0
RNA5SP273,0,0,1,0
LINC01030,0,0,1,0
TMEM64,5.428766761,4.792963524,0.003711283,0.635803237
NECAB1,0,0.041039123,0.422649731,-0.041039123
C8orf88,3.506098565,3.277797992,0.103085052,0.228300573
PIP4P2,3.291365786,3.22371969,0.679596525,0.067646096
OTUD6B-AS1,4.656123858,4.123154891,0.028412266,0.532968967
OTUD6B,5.143292819,4.305538089,0.00202961,0.83775473
LRRC69,0.539391826,0.347903899,0.555424324,0.191487927
MIR4661,0,0,1,0
SLC26A7,0.037224089,0,0.422649731,0.037224089
RN7SKP231,0,0,1,0
RUNX1T1,4.255277453,3.86208498,0.033489276,0.393192472
LOC105375638,0,0,1,0
LOC102724710,0,0,1,0
LOC101926956,0,0,1,0
FLJ46284,0.203170404,0.100125239,0.571693786,0.103045165
TRIQK,5.052516797,4.439888792,0.000553832,0.612628005
IRF5P1,0,0,1,0
MIR8084,0,0,1,0
LINC02906,0,0,1,0
CIBAR1-DT,0.271602472,0.347606944,0.760795073,-0.076004471
RNA5SP274,0,0,1,0
ZNF317P1,0,0,1,0
CIBAR1,4.75937808,4.456407669,0.073946658,0.302970411
RBM12B,5.788985367,5.579778874,0.173418602,0.209206493
RBM12B-AS1,0.111417783,0.205946144,0.492003041,-0.094528361
TMEM67,4.701078607,4.329572563,0.000469473,0.371506043
PDP1,7.697129945,7.317590469,0.015233431,0.379539476
MIR378D2HG,0.282067986,0.146573827,0.465116962,0.135494158
MIR378D2,0,0,1,0
RPL34P18,0,0,1,0
